"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2010-11-24,25805
"Flagstaff Station",2010-11-25,28827
"Flagstaff Station",2010-11-26,24463
"Flagstaff Station",2010-11-27,1152
"Flagstaff Station",2010-11-28,840
"Flagstaff Station",2010-11-29,25368
"Flagstaff Station",2010-11-30,26755
"Flagstaff Station",2010-12-01,27569
"Flagstaff Station",2010-12-02,27633
"Flagstaff Station",2010-12-03,24364
"Flagstaff Station",2010-12-04,1394
"Flagstaff Station",2010-12-05,1030
"Flagstaff Station",2010-12-06,26027
"Flagstaff Station",2010-12-07,26004
"Flagstaff Station",2010-12-08,27888
"Flagstaff Station",2010-12-09,25739
"Flagstaff Station",2010-12-10,23833
"Flagstaff Station",2010-12-11,1251
"Flagstaff Station",2010-12-12,932
"Flagstaff Station",2010-12-13,25065
"Flagstaff Station",2010-12-14,25617
"Flagstaff Station",2010-12-15,25145
"Flagstaff Station",2010-12-16,25625
"Flagstaff Station",2010-12-17,24113
"Flagstaff Station",2010-12-18,1198
"Flagstaff Station",2010-12-19,776
"Flagstaff Station",2010-12-20,22631
"Flagstaff Station",2010-12-21,22514
"Flagstaff Station",2010-12-22,22407
"Flagstaff Station",2010-12-23,19869
"Flagstaff Station",2010-12-24,13028
"Flagstaff Station",2010-12-25,583
"Flagstaff Station",2010-12-26,764
"Flagstaff Station",2010-12-27,793
"Flagstaff Station",2010-12-28,1102
"Flagstaff Station",2010-12-29,8410
"Flagstaff Station",2010-12-30,8388
"Flagstaff Station",2010-12-31,7172
"Flagstaff Station",2011-01-01,898
"Flagstaff Station",2011-01-02,788
"Flagstaff Station",2011-01-03,724
"Flagstaff Station",2011-01-04,14873
"Flagstaff Station",2011-01-05,15462
"Flagstaff Station",2011-01-06,15687
"Flagstaff Station",2011-01-07,14639
"Flagstaff Station",2011-01-08,813
"Flagstaff Station",2011-01-09,744
"Flagstaff Station",2011-01-10,22210
"Flagstaff Station",2011-01-11,22068
"Flagstaff Station",2011-01-12,22113
"Flagstaff Station",2011-01-13,24166
"Flagstaff Station",2011-01-14,21510
"Flagstaff Station",2011-01-15,1077
"Flagstaff Station",2011-01-16,761
"Flagstaff Station",2011-01-17,22796
"Flagstaff Station",2011-01-18,23384
"Flagstaff Station",2011-01-19,23233
"Flagstaff Station",2011-01-20,23639
"Flagstaff Station",2011-01-21,21538
"Flagstaff Station",2011-01-22,1205
"Flagstaff Station",2011-01-23,946
"Flagstaff Station",2011-01-24,24498
"Flagstaff Station",2011-01-25,23960
"Flagstaff Station",2011-01-26,984
"Flagstaff Station",2011-01-27,23873
"Flagstaff Station",2011-01-28,22860
"Flagstaff Station",2011-01-29,1109
"Flagstaff Station",2011-01-30,760
"Flagstaff Station",2011-01-31,24372
"Flagstaff Station",2011-02-01,24670
"Flagstaff Station",2011-02-02,25763
"Flagstaff Station",2011-02-03,24729
"Flagstaff Station",2011-02-04,25305
"Flagstaff Station",2011-02-05,1022
"Flagstaff Station",2011-02-06,892
"Flagstaff Station",2011-02-07,25989
"Flagstaff Station",2011-02-08,26097
"Flagstaff Station",2011-02-09,26042
"Flagstaff Station",2011-02-10,25329
"Flagstaff Station",2011-02-11,25758
"Flagstaff Station",2011-02-12,1245
"Flagstaff Station",2011-02-13,864
"Flagstaff Station",2011-02-14,26012
"Flagstaff Station",2011-02-15,26975
"Flagstaff Station",2011-02-16,26549
"Flagstaff Station",2011-02-17,26075
"Flagstaff Station",2011-02-18,24907
"Flagstaff Station",2011-02-19,1212
"Flagstaff Station",2011-02-20,958
"Flagstaff Station",2011-02-21,25758
"Flagstaff Station",2011-02-22,26606
"Flagstaff Station",2011-02-23,26428
"Flagstaff Station",2011-02-24,27116
"Flagstaff Station",2011-02-25,24746
"Flagstaff Station",2011-02-26,1138
"Flagstaff Station",2011-02-27,774
"Flagstaff Station",2011-02-28,26578
"Flagstaff Station",2011-03-01,27292
"Flagstaff Station",2011-03-02,27016
"Flagstaff Station",2011-03-03,26391
"Flagstaff Station",2011-03-04,24363
"Flagstaff Station",2011-03-05,1247
"Flagstaff Station",2011-03-06,1059
"Flagstaff Station",2011-03-07,26573
"Flagstaff Station",2011-03-08,27118
"Flagstaff Station",2011-03-09,27642
"Flagstaff Station",2011-03-10,27696
"Flagstaff Station",2011-03-11,25368
"Flagstaff Station",2011-03-12,1522
"Flagstaff Station",2011-03-13,820
"Flagstaff Station",2011-03-14,1163
"Flagstaff Station",2011-03-15,27250
"Flagstaff Station",2011-03-16,26649
"Flagstaff Station",2011-03-17,26608
"Flagstaff Station",2011-03-18,25159
"Flagstaff Station",2011-03-19,1349
"Flagstaff Station",2011-03-20,963
"Flagstaff Station",2011-03-21,26419
"Flagstaff Station",2011-03-22,27126
"Flagstaff Station",2011-03-23,26926
"Flagstaff Station",2011-03-24,27484
"Flagstaff Station",2011-03-25,24128
"Flagstaff Station",2011-03-26,1324
"Flagstaff Station",2011-03-27,1202
"Flagstaff Station",2011-03-28,26860
"Flagstaff Station",2011-03-29,27611
"Flagstaff Station",2011-03-30,26782
"Flagstaff Station",2011-03-31,27330
"Flagstaff Station",2011-04-01,24861
"Flagstaff Station",2011-04-02,1246
"Flagstaff Station",2011-04-03,925
"Flagstaff Station",2011-04-04,27190
"Flagstaff Station",2011-04-05,27987
"Flagstaff Station",2011-04-06,27554
"Flagstaff Station",2011-04-07,26916
"Flagstaff Station",2011-04-08,25254
"Flagstaff Station",2011-04-09,1143
"Flagstaff Station",2011-04-10,992
"Flagstaff Station",2011-04-11,25281
"Flagstaff Station",2011-04-12,29724
"Flagstaff Station",2011-04-13,25877
"Flagstaff Station",2011-04-14,25644
