"date","maxTemp","minTemp"
2011-03-29,29,12.9
2011-03-30,22.6,14.4
2011-03-31,19.8,13.8
2011-04-01,21.3,8.7
2011-04-02,18.9,10.9
2011-04-03,17.7,13.4
2011-04-04,18.5,13
2011-04-05,23.1,12.4
2011-04-06,26.5,11.2
2011-04-07,26.4,13.1
2011-04-08,26.2,13.3
2011-04-09,27.1,16.7
2011-04-10,17.2,12.1
2011-04-11,19,8.2
2011-04-12,19.2,11
2011-04-13,17.4,12.5
2011-04-14,20.1,12.4
2011-04-15,21.1,12
2011-04-16,21,12.4
2011-04-17,20.9,8.6
2011-04-18,NA,10.3
2011-04-19,23.2,15.9
2011-04-20,18.1,14.1
2011-04-21,22.1,12.6
2011-04-22,18.5,12.6
2011-04-23,18.1,9.1
2011-04-24,20.1,12.6
2011-04-25,19.8,9.1
2011-04-26,19.9,9.7
2011-04-27,21.9,9.5
2011-04-28,22.8,10.5
2011-04-29,22.8,11.3
2011-04-30,24.7,11.9
2011-05-01,21,13.2
2011-05-02,18.8,13.1
2011-05-03,18.6,11.1
2011-05-04,17.8,10.8
2011-05-05,14.8,12.5
2011-05-06,15.5,11.4
2011-05-07,16,6.1
2011-05-08,15.6,7.8
2011-05-09,15.1,9.5
2011-05-10,14.6,3.5
2011-05-11,12.2,6.9
2011-05-12,14,5.6
2011-05-13,15.9,8.4
2011-05-14,14.9,7.7
2011-05-15,15.1,8.3
2011-05-16,15.1,11
2011-05-17,16.1,10.6
2011-05-18,15.5,6.7
2011-05-19,18.3,10.1
2011-05-20,19.5,11.9
2011-05-21,21.3,11.9
2011-05-22,19,13.8
2011-05-23,18.3,13.4
2011-05-24,16.6,9.8
2011-05-25,15.6,10
2011-05-26,14.5,9.6
2011-05-27,15.5,10
2011-05-28,13.8,10.5
2011-05-29,14.3,10.5
2011-05-30,16.5,5.8
2011-05-31,16,6.9
2011-06-01,18.3,3.4
2011-06-02,19.5,6.1
2011-06-03,17,12.2
2011-06-04,16.9,11.7
2011-06-05,16.3,7.7
2011-06-06,13.8,5.6
2011-06-07,10.9,7
2011-06-08,12,4.9
2011-06-09,15.8,6.8
2011-06-10,16.2,9.8
2011-06-11,16.3,10.1
2011-06-12,15.3,6.7
2011-06-13,15.6,7.3
2011-06-14,14.1,7.5
2011-06-15,15,4.6
2011-06-16,15.7,4
2011-06-17,14.4,6.3
2011-06-18,16.8,9.4
2011-06-19,17,10.4
2011-06-20,16.2,11
2011-06-21,12.5,7.6
2011-06-22,13.9,7.3
2011-06-23,16.2,9.4
2011-06-24,18.2,11
2011-06-25,17,11.5
2011-06-26,15,8.9
2011-06-27,17,9.1
2011-06-28,15.2,6.8
2011-06-29,18.4,4.5
2011-06-30,17.6,6.5
2011-07-01,17.3,8.3
2011-07-02,16.5,8.7
2011-07-03,13.6,10.3
2011-07-04,15.8,10
2011-07-05,12.7,9.3
2011-07-06,14.2,8.9
2011-07-07,11.5,6.4
2011-07-08,12.5,6.6
2011-07-09,14.8,8.4
2011-07-10,13.4,7.6
2011-07-11,13.5,7.4
2011-07-12,13.6,9.1
2011-07-13,13.7,9.7
2011-07-14,14.8,7.3
2011-07-15,14.1,5.4
2011-07-16,15.8,2.8
2011-07-17,14.1,4.6
2011-07-18,12.8,9.1
2011-07-19,16.4,9.5
2011-07-20,12.9,10.4
2011-07-21,13.4,7.8
2011-07-22,17.5,8.9
2011-07-23,13,5.5
2011-07-24,12.8,6.7
2011-07-25,14,9.1
2011-07-26,14.1,7.9
2011-07-27,15.1,2.7
2011-07-28,16,4.6
2011-07-29,17.5,7.4
2011-07-30,15.4,8.4
2011-07-31,19.4,10.9
2011-08-01,18.6,11.2
2011-08-02,20.2,11.7
2011-08-03,23.2,12.6
2011-08-04,21,15.5
2011-08-05,18.4,13.3
2011-08-06,15.1,10.4
2011-08-07,14.4,6.1
2011-08-08,14.5,8.3
2011-08-09,12.6,7
2011-08-10,12.6,8.1
2011-08-11,16.1,9.7
