"","Sensor_Name","Date","sum.Hourly_Counts.","Bus","Tram","PedBusRatio","PedTramRatio"
"274","Flagstaff Station",2010-03-01,25676,267139,5e+05,0.0961147567371294,0.051352
"275","Flagstaff Station",2010-03-02,26756,267139,5e+05,0.100157595858336,0.053512
"276","Flagstaff Station",2010-03-03,25729,267139,5e+05,0.096313155323633,0.051458
"277","Flagstaff Station",2010-03-04,26279,267139,5e+05,0.098372008579803,0.052558
"278","Flagstaff Station",2010-03-05,24436,267139,5e+05,0.0914729784868552,0.048872
"279","Flagstaff Station",2010-03-06,1564,267139,5e+05,0.00585462998663617,0.003128
"280","Flagstaff Station",2010-03-07,748,267139,5e+05,0.00280004042839121,0.001496
"281","Flagstaff Station",2010-03-08,879,267139,5e+05,0.00329042184031534,0.001758
"282","Flagstaff Station",2010-03-09,25900,267139,5e+05,0.0969532715178241,0.0518
"283","Flagstaff Station",2010-03-10,26486,267139,5e+05,0.0991468860780343,0.052972
"284","Flagstaff Station",2010-03-11,26393,267139,5e+05,0.0987987527092637,0.052786
"285","Flagstaff Station",2010-03-12,25341,267139,5e+05,0.094860727935644,0.050682
"286","Flagstaff Station",2010-03-13,1211,267139,5e+05,0.00453322053313069,0.002422
"287","Flagstaff Station",2010-03-14,958,267139,5e+05,0.00358614803529249,0.001916
"288","Flagstaff Station",2010-03-15,26510,267139,5e+05,0.0992367269473944,0.05302
"289","Flagstaff Station",2010-03-16,26686,267139,5e+05,0.0998955599893688,0.053372
"290","Flagstaff Station",2010-03-17,26127,267139,5e+05,0.0978030164071888,0.052254
"291","Flagstaff Station",2010-03-18,26808,267139,5e+05,0.100352251075283,0.053616
"292","Flagstaff Station",2010-03-19,26352,267139,5e+05,0.0986452745574401,0.052704
"293","Flagstaff Station",2010-03-20,1460,267139,5e+05,0.00546531955274221,0.00292
"294","Flagstaff Station",2010-03-21,1096,267139,5e+05,0.00410273303411333,0.002192
"295","Flagstaff Station",2010-03-22,26248,267139,5e+05,0.0982559641235462,0.052496
"296","Flagstaff Station",2010-03-23,26111,267139,5e+05,0.097743122494282,0.052222
"297","Flagstaff Station",2010-03-24,26863,267139,5e+05,0.1005581364009,0.053726
"298","Flagstaff Station",2010-03-25,26272,267139,5e+05,0.0983458049929063,0.052544
"299","Flagstaff Station",2010-03-26,23905,267139,5e+05,0.0894852492522619,0.04781
"300","Flagstaff Station",2010-03-27,1476,267139,5e+05,0.00552521346564897,0.002952
"301","Flagstaff Station",2010-03-28,1073,267139,5e+05,0.00401663553430985,0.002146
"302","Flagstaff Station",2010-03-29,25415,267139,5e+05,0.0951377372828378,0.05083
"303","Flagstaff Station",2010-03-30,25469,267139,5e+05,0.0953398792388981,0.050938
"304","Flagstaff Station",2010-03-31,24899,267139,5e+05,0.0932061585915946,0.049798
"305","Flagstaff Station",2010-04-01,23137,267139,5e+05,0.0866103414327373,0.046274
"306","Flagstaff Station",2010-04-02,821,267139,5e+05,0.00307330640602832,0.001642
"307","Flagstaff Station",2010-04-03,1111,267139,5e+05,0.00415888357746342,0.002222
"308","Flagstaff Station",2010-04-04,911,267139,5e+05,0.00341020966612887,0.001822
"309","Flagstaff Station",2010-04-05,858,267139,5e+05,0.00321181107962521,0.001716
"310","Flagstaff Station",2010-04-06,22311,267139,5e+05,0.0835183181789256,0.044622
"311","Flagstaff Station",2010-04-07,23427,267139,5e+05,0.0876959186041724,0.046854
"312","Flagstaff Station",2010-04-08,23903,267139,5e+05,0.0894777625131486,0.047806
"313","Flagstaff Station",2010-04-09,22767,267139,5e+05,0.0852252946967683,0.045534
"314","Flagstaff Station",2010-04-10,1285,267139,5e+05,0.00481022988032447,0.00257
"315","Flagstaff Station",2010-04-11,896,267139,5e+05,0.00335405912277878,0.001792
